Scenario ID,Agent ID,Query Number,Relevance (1-5),Coherence (1-5),Completeness (1-5),Accuracy (1-5),Average Score,Comments
baseline,agent_1,0,,,,,=AVERAGE(D124:G124),
baseline,agent_1,1,,,,,=AVERAGE(D169:G169),
baseline,agent_1,2,,,,,=AVERAGE(D214:G214),
baseline,agent_2,0,,,,,=AVERAGE(D259:G259),
baseline,agent_2,1,,,,,=AVERAGE(D304:G304),
baseline,agent_2,2,,,,,=AVERAGE(D349:G349),
baseline,agent_3,0,,,,,=AVERAGE(D394:G394),
baseline,agent_3,1,,,,,=AVERAGE(D439:G439),
baseline,agent_3,2,,,,,=AVERAGE(D484:G484),
baseline,agent_4,0,,,,,=AVERAGE(D529:G529),
baseline,agent_4,1,,,,,=AVERAGE(D574:G574),
baseline,agent_4,2,,,,,=AVERAGE(D619:G619),
mus_very_low,agent_1,0,,,,,=AVERAGE(D664:G664),
mus_very_low,agent_1,1,,,,,=AVERAGE(D713:G713),
mus_very_low,agent_1,2,,,,,=AVERAGE(D762:G762),
mus_very_low,agent_2,0,,,,,=AVERAGE(D811:G811),
mus_very_low,agent_2,1,,,,,=AVERAGE(D860:G860),
mus_very_low,agent_2,2,,,,,=AVERAGE(D909:G909),
mus_very_low,agent_3,0,,,,,=AVERAGE(D958:G958),
mus_very_low,agent_3,1,,,,,=AVERAGE(D1007:G1007),
mus_very_low,agent_3,2,,,,,=AVERAGE(D1058:G1058),
mus_very_low,agent_4,0,,,,,=AVERAGE(D1109:G1109),
mus_very_low,agent_4,1,,,,,=AVERAGE(D1160:G1160),
mus_very_low,agent_4,2,,,,,=AVERAGE(D1211:G1211),
mus_low,agent_1,0,,,,,=AVERAGE(D1262:G1262),
mus_low,agent_1,1,,,,,=AVERAGE(D1308:G1308),
mus_low,agent_1,2,,,,,=AVERAGE(D1354:G1354),
mus_low,agent_2,0,,,,,=AVERAGE(D1400:G1400),
mus_low,agent_2,1,,,,,=AVERAGE(D1446:G1446),
mus_low,agent_2,2,,,,,=AVERAGE(D1492:G1492),
mus_low,agent_3,0,,,,,=AVERAGE(D1538:G1538),
mus_low,agent_3,1,,,,,=AVERAGE(D1584:G1584),
mus_low,agent_3,2,,,,,=AVERAGE(D1630:G1630),
mus_low,agent_4,0,,,,,=AVERAGE(D1676:G1676),
mus_low,agent_4,1,,,,,=AVERAGE(D1722:G1722),
mus_low,agent_4,2,,,,,=AVERAGE(D1768:G1768),
mus_medium_low,agent_1,0,,,,,=AVERAGE(D1814:G1814),
mus_medium_low,agent_1,1,,,,,=AVERAGE(D1867:G1867),
mus_medium_low,agent_1,2,,,,,=AVERAGE(D1920:G1920),
mus_medium_low,agent_2,0,,,,,=AVERAGE(D1973:G1973),
mus_medium_low,agent_2,1,,,,,=AVERAGE(D2026:G2026),
mus_medium_low,agent_2,2,,,,,=AVERAGE(D2079:G2079),
mus_medium_low,agent_3,0,,,,,=AVERAGE(D2132:G2132),
mus_medium_low,agent_3,1,,,,,=AVERAGE(D2185:G2185),
mus_medium_low,agent_3,2,,,,,=AVERAGE(D2238:G2238),
mus_medium_low,agent_4,0,,,,,=AVERAGE(D2291:G2291),
mus_medium_low,agent_4,1,,,,,=AVERAGE(D2344:G2344),
mus_medium_low,agent_4,2,,,,,=AVERAGE(D2397:G2397),
mus_medium,agent_1,0,,,,,=AVERAGE(D2450:G2450),
mus_medium,agent_1,1,,,,,=AVERAGE(D2499:G2499),
mus_medium,agent_1,2,,,,,=AVERAGE(D2548:G2548),
mus_medium,agent_2,0,,,,,=AVERAGE(D2597:G2597),
mus_medium,agent_2,1,,,,,=AVERAGE(D2646:G2646),
mus_medium,agent_2,2,,,,,=AVERAGE(D2695:G2695),
mus_medium,agent_3,0,,,,,=AVERAGE(D2744:G2744),
mus_medium,agent_3,1,,,,,=AVERAGE(D2793:G2793),
mus_medium,agent_3,2,,,,,=AVERAGE(D2842:G2842),
mus_medium,agent_4,0,,,,,=AVERAGE(D2891:G2891),
mus_medium,agent_4,1,,,,,=AVERAGE(D2940:G2940),
mus_medium,agent_4,2,,,,,=AVERAGE(D2989:G2989),
mus_medium_high,agent_1,0,,,,,=AVERAGE(D3038:G3038),
mus_medium_high,agent_1,1,,,,,=AVERAGE(D3092:G3092),
mus_medium_high,agent_1,2,,,,,=AVERAGE(D3146:G3146),
mus_medium_high,agent_2,0,,,,,=AVERAGE(D3200:G3200),
mus_medium_high,agent_2,1,,,,,=AVERAGE(D3254:G3254),
mus_medium_high,agent_2,2,,,,,=AVERAGE(D3308:G3308),
mus_medium_high,agent_3,0,,,,,=AVERAGE(D3362:G3362),
mus_medium_high,agent_3,1,,,,,=AVERAGE(D3416:G3416),
mus_medium_high,agent_3,2,,,,,=AVERAGE(D3470:G3470),
mus_medium_high,agent_4,0,,,,,=AVERAGE(D3524:G3524),
mus_medium_high,agent_4,1,,,,,=AVERAGE(D3578:G3578),
mus_medium_high,agent_4,2,,,,,=AVERAGE(D3632:G3632),
mus_high,agent_1,0,,,,,=AVERAGE(D3686:G3686),
mus_high,agent_1,1,,,,,=AVERAGE(D3733:G3733),
mus_high,agent_1,2,,,,,=AVERAGE(D3780:G3780),
mus_high,agent_2,0,,,,,=AVERAGE(D3827:G3827),
mus_high,agent_2,1,,,,,=AVERAGE(D3874:G3874),
mus_high,agent_2,2,,,,,=AVERAGE(D3921:G3921),
mus_high,agent_3,0,,,,,=AVERAGE(D3968:G3968),
mus_high,agent_3,1,,,,,=AVERAGE(D4015:G4015),
mus_high,agent_3,2,,,,,=AVERAGE(D4062:G4062),
mus_high,agent_4,0,,,,,=AVERAGE(D4109:G4109),
mus_high,agent_4,1,,,,,=AVERAGE(D4156:G4156),
mus_high,agent_4,2,,,,,=AVERAGE(D4203:G4203),
mus_very_high,agent_1,0,,,,,=AVERAGE(D4250:G4250),
mus_very_high,agent_1,1,,,,,=AVERAGE(D4302:G4302),
mus_very_high,agent_1,2,,,,,=AVERAGE(D4354:G4354),
mus_very_high,agent_2,0,,,,,=AVERAGE(D4406:G4406),
mus_very_high,agent_2,1,,,,,=AVERAGE(D4458:G4458),
mus_very_high,agent_2,2,,,,,=AVERAGE(D4510:G4510),
mus_very_high,agent_3,0,,,,,=AVERAGE(D4562:G4562),
mus_very_high,agent_3,1,,,,,=AVERAGE(D4614:G4614),
mus_very_high,agent_3,2,,,,,=AVERAGE(D4666:G4666),
mus_very_high,agent_4,0,,,,,=AVERAGE(D4718:G4718),
mus_very_high,agent_4,1,,,,,=AVERAGE(D4770:G4770),
mus_very_high,agent_4,2,,,,,=AVERAGE(D4822:G4822),
l1_low_l2_medium,agent_1,0,,,,,=AVERAGE(D4874:G4874),
l1_low_l2_medium,agent_1,1,,,,,=AVERAGE(D4929:G4929),
l1_low_l2_medium,agent_1,2,,,,,=AVERAGE(D4984:G4984),
l1_low_l2_medium,agent_2,0,,,,,=AVERAGE(D5039:G5039),
l1_low_l2_medium,agent_2,1,,,,,=AVERAGE(D5094:G5094),
l1_low_l2_medium,agent_2,2,,,,,=AVERAGE(D5149:G5149),
l1_low_l2_medium,agent_3,0,,,,,=AVERAGE(D5204:G5204),
l1_low_l2_medium,agent_3,1,,,,,=AVERAGE(D5259:G5259),
l1_low_l2_medium,agent_3,2,,,,,=AVERAGE(D5314:G5314),
l1_low_l2_medium,agent_4,0,,,,,=AVERAGE(D5369:G5369),
l1_low_l2_medium,agent_4,1,,,,,=AVERAGE(D5424:G5424),
l1_low_l2_medium,agent_4,2,,,,,=AVERAGE(D5479:G5479),
l1_medium_l2_low,agent_1,0,,,,,=AVERAGE(D5534:G5534),
l1_medium_l2_low,agent_1,1,,,,,=AVERAGE(D5589:G5589),
l1_medium_l2_low,agent_1,2,,,,,=AVERAGE(D5644:G5644),
l1_medium_l2_low,agent_2,0,,,,,=AVERAGE(D5699:G5699),
l1_medium_l2_low,agent_2,1,,,,,=AVERAGE(D5754:G5754),
l1_medium_l2_low,agent_2,2,,,,,=AVERAGE(D5809:G5809),
l1_medium_l2_low,agent_3,0,,,,,=AVERAGE(D5864:G5864),
l1_medium_l2_low,agent_3,1,,,,,=AVERAGE(D5919:G5919),
l1_medium_l2_low,agent_3,2,,,,,=AVERAGE(D5974:G5974),
l1_medium_l2_low,agent_4,0,,,,,=AVERAGE(D6029:G6029),
l1_medium_l2_low,agent_4,1,,,,,=AVERAGE(D6084:G6084),
l1_medium_l2_low,agent_4,2,,,,,=AVERAGE(D6139:G6139),
l1_only,agent_1,0,,,,,=AVERAGE(D6194:G6194),
l1_only,agent_1,1,,,,,=AVERAGE(D6240:G6240),
l1_only,agent_1,2,,,,,=AVERAGE(D6286:G6286),
l1_only,agent_2,0,,,,,=AVERAGE(D6332:G6332),
l1_only,agent_2,1,,,,,=AVERAGE(D6378:G6378),
l1_only,agent_2,2,,,,,=AVERAGE(D6424:G6424),
l1_only,agent_3,0,,,,,=AVERAGE(D6470:G6470),
l1_only,agent_3,1,,,,,=AVERAGE(D6516:G6516),
l1_only,agent_3,2,,,,,=AVERAGE(D6562:G6562),
l1_only,agent_4,0,,,,,=AVERAGE(D6608:G6608),
l1_only,agent_4,1,,,,,=AVERAGE(D6654:G6654),
l1_only,agent_4,2,,,,,=AVERAGE(D6700:G6700),
l2_only,agent_1,0,,,,,=AVERAGE(D6746:G6746),
l2_only,agent_1,1,,,,,=AVERAGE(D6792:G6792),
l2_only,agent_1,2,,,,,=AVERAGE(D6838:G6838),
l2_only,agent_2,0,,,,,=AVERAGE(D6884:G6884),
l2_only,agent_2,1,,,,,=AVERAGE(D6930:G6930),
l2_only,agent_2,2,,,,,=AVERAGE(D6976:G6976),
l2_only,agent_3,0,,,,,=AVERAGE(D7022:G7022),
l2_only,agent_3,1,,,,,=AVERAGE(D7068:G7068),
l2_only,agent_3,2,,,,,=AVERAGE(D7114:G7114),
l2_only,agent_4,0,,,,,=AVERAGE(D7160:G7160),
l2_only,agent_4,1,,,,,=AVERAGE(D7206:G7206),
l2_only,agent_4,2,,,,,=AVERAGE(D7252:G7252),
age_based_only,agent_1,0,,,,,=AVERAGE(D7298:G7298),
age_based_only,agent_1,1,,,,,=AVERAGE(D7351:G7351),
age_based_only,agent_1,2,,,,,=AVERAGE(D7404:G7404),
age_based_only,agent_2,0,,,,,=AVERAGE(D7457:G7457),
age_based_only,agent_2,1,,,,,=AVERAGE(D7510:G7510),
age_based_only,agent_2,2,,,,,=AVERAGE(D7563:G7563),
age_based_only,agent_3,0,,,,,=AVERAGE(D7616:G7616),
age_based_only,agent_3,1,,,,,=AVERAGE(D7669:G7669),
age_based_only,agent_3,2,,,,,=AVERAGE(D7722:G7722),
age_based_only,agent_4,0,,,,,=AVERAGE(D7775:G7775),
age_based_only,agent_4,1,,,,,=AVERAGE(D7828:G7828),
age_based_only,agent_4,2,,,,,=AVERAGE(D7881:G7881),
